7A LD   A,D
7B LD   A,E
7C LD   A,H
ED75 LD   A,I
7D LD   A,L
3E:1 LD   A,%
ED5F LD   A,R
0A LD   A,(BC)
1A LD   A,(DE)
7E LD   A,(HL)
DD7E:1 LD   A,(IX + %)
FD7E:1 LD   A,(IY + %)
3A:2 LD   A,(%)
47 LD   B,A
40 LD   B,B
41 LD   B,C
42 LD   B,D
43 LD   B,E
44 LD   B,H
45 LD   B,L
06:1 LD   B,%
46 LD   B,(HL)
DD46:1 LD   B,(IX + %)
FD46:1 LD   B,(IY + %)
01:2 LD   BC,%
ED4B:2 LD   BC,(%)
4F LD   C,A
48 LD   C,B
49 LD   C,C
4A LD   C,D
4B LD   C,E
4C LD   C,H
4D LD   C,L
0E:1 LD   C,%
4E LD   C,(HL)
DD4E:1 LD   C,(IX + %)
FD4E:1 LD   C,(IY + %)
57 LD   D,A
50 LD   D,B
51 LD   D,C
52 LD   D,D
53 LD   D,E
54 LD   D,H
55 LD   D,L
16:1 LD   D,%
56 LD   D,(HL)
DD56:1 LD   D,(IX + %)
FD56:1 LD   D,(IY + %)
11:2 LD   DE,%
ED5B:2 LD   DE,(%)
5F LD   E,A
58 LD   E,B
59 LD   E,C
5A LD   E,D
5B LD   E,E
5C LD   E,H
5D LD   E,L
1E:1 LD   E,%
5E LD   E,(HL)
DD5E:1 LD   E,(IX + %)
FD5E:1 LD   E,(IY + %)
67 LD   H,A
60 LD   H,B
61 LD   H,C
62 LD   H,D
63 LD   H,E
64 LD   H,H
65 LD   H,L
26:1 LD   H,%
66 LD   H,(HL)
DD66:1 LD   H,(IX + %)
FD66:1 LD   H,(IY + %)
21:2 LD   HL,%
2A:2 LD   HL(%)
ED47 LD   I,A
DD21:2 LD   IX,%
DD2A:2 LD   IX,(%)
FD21:2 LD   IY,%
FD2A:2 LD   IY,(%)
6F LD   L,A
68 LD   L,B
69 LD   L,C
6A LD   L,D
6B LD   L,E
6C LD   L,H
6D LD   L,L
2E:1 LD   L,%
6E LD   L,(HL)
DD6E:1 LD   L,(IX + %)
FD6E:1 LD   L,(IY + %)
ED4F LD   R,A
F9 LD   SP,HL
DDF9 LD   SP,IX
FDF9 LD   SP,IY
31:2 LD   SP,%
ED7B:2 LD   SP,(%)
02 LD   (BC),A
12 LD   (DE),A
77 LD   (HL),A
70 LD   (HL),B
71 LD   (HL),C
72 LD   (HL),D
73 LD   (HL),E
74 LD   (HL),H
75 LD   (HL),L
36:1 LD   (HL),%
DD77:1 LD   (IX + %),A
DD70:1 LD   (IX + %),B
DD71:1 LD   (IX + %),C
DD72:1 LD   (IX + %),D
DD73:1 LD   (IX + %),E
DD74:1 LD   (IX + %),H
DD75:1 LD   (IX + %),L
DD36:1: LD   (IX + %),#
FD77:1 LD   (IY + %),A
FD70:1 LD   (IY + %),B
FD71:1 LD   (IY + %),C
FD72:1 LD   (IY + %),D
FD73:1 LD   (IY + %),E
FD74:1 LD   (IY + %),H
FD75:1 LD   (IY + %),L
FD36:1: LD   (IY + %),#
32:2 LD   (%),A
ED43:2 LD   (%),BC
ED53:2 LD   (%),DE
22:2 LD   (%),HL
DD22:2 LD   (%),IX
FD22:2 LD   (%),IY
ED73:2 LD   (%),SP
EDA8 LDD
EDB8 LDDR
EDA0 LDI
EDB0 LDIR
ED44 NEG
00 NOP
B7 OR   A
B0 OR   B
B1 OR   C
B2 OR   D
B3 OR   E
B4 OR   H
B5 OR   L
F6:1 OR   %
B6 OR   (HL)
DDB6:1 OR   (IX + %)
FDB6:1 OR   (IY + %)
EDBB OTDR
EDB3 OTIR
ED79 OUT  (C),A
ED41 OUT  (C),B
ED49 OUT  (C),C
ED51 OUT  (C),D
ED59 OUT  (C),E
ED61 OUT  (C),H
ED69 OUT  (C),L
D3:1 OUT  (%),A
EDAB OUTD
EDA3 OUTI
F1 POP  AF
C1 POP  BC
D1 POP  DE
E1 POP  HL
DDE1 POP  IX
FDE1 POP  IY
F5 PUSH AF
C5 PUSH C5
D5 PUSH DE
E5 PUSH HL
DDE5 PUSH IX
FDE5 PUSH IY
CB87 RES  0,A
