 Z
 2EX AF,AF 08@1
 2EX DE,HL EB@1
 2EX (SP),HL E3@1
 2EX (SP),IX DDE3@2
 2EX (SP),IY FDE3@2
 Z
 0EXX D9@1
 Z
 0HALT 76@1
 Z
 1IM 0 ED46@2
 1IM 1 ED56@2
 1IM 2 ED5E@2
 Z
 2IN A,(C) ED78@2
 2IN B,(C) ED40@2
 2IN C,(C) ED48@2
 2IN D,(C) ED50@2
 2IN E,(C) ED58@2
 2IN H,(C) ED60@2
 2IN L,(C) ED68@2
 2IN A,4( DB#1@2
 Z
 1INC A 3C@1
 1INC B 04@1
 1INC C 0C@1
 1INC D 14@1
 1INC E 1C@1
 1INC H 24@1
 1INC L 2C@1
 1INC BC 03@1
 1INC DE 13@1
 1INC HL 23@1
 1INC SP 33@1
 1INC IX DD23@2
 1INC IY FD23@2
 1INC (HL) 34@1
 1INC 2(IX+ DD34#1@3
 1INC 2(IY+ FD34#1@3
 Z
 0IND EDAA@2
 Z
 0INDR EDBA@2
 Z
 0INI EDA2@2
 Z
 0INIR EDB2@2
 Z
 4JP %,(HL) E9@1
 4JP %,(IX) DDE9@2
 4JP %,(IY) FDE9@2
 4JP 3, C3#2@3
 4JP NZ,3 C2#2@3
 4JP Z,3 CA#2@3
 4JP NC,3 D2#2@3
 4JP C,3 DA#2@3
 4JP PO,3 E2#2@3
 4JP PE,3 EA#2@3
 4JP P,3 F2#2@3
 4JP M,3 FA#2@3
 Z
 4JR 6, 18#1@2
 4JR NZ,6 20#1@2
 4JR Z,6 28#1@2
 4JR NC,6 30#1@2
 4JR C,6 38#1@2
 Z
 2LD A,A 7F@1
 2LD A,B 78@1
 2LD A,C 79@1
 2LD A,D 7A@1
 2LD A,E 7B@1
 2LD A,H 7C@1
 2LD A,L 7D@1
 2LD B,A 47@1
 2LD B,B 40@1
 2LD B,C 41@1
 2LD B,D 42@1
 2LD B,E 43@1
 2LD B,H 44@1
 2LD B,L 45@1
 2LD C,A 4F@1
 2LD C,B 48@1
 2LD C,C 49@1
 2LD C,D 4A@1
 2LD C,E 4B@1
 2LD C,H 4C@1
 2LD C,L 4D@1
 2LD D,A 57@1
 2LD D,B 50@1
 2LD D,C 51@1
 2LD D,D 52@1
 2LD D,E 53@1
 2LD D,H 54@1
 2LD D,L 55@1
 2LD E,A 5F@1
 2LD E,B 58@1
 2LD E,C 59@1
 2LD E,D 5A@1
 2LD E,E 5B@1
 2LD E,H 5C@1
 2LD E,L 5D@1
 2LD H,A 67@1
 2LD H,B 60@1
 2LD H,C 61@1
 2LD H,D 62@1
 2LD H,E 63@1
 2LD H,H 64@1
 2LD H,L 65@1
 2LD L,A 6F@1
 2LD L,B 68@1
 2LD L,C 69@1
 2LD L,D 6A@1
 2LD L,E 6B@1
 2LD L,H 6C@1
 2LD L,L 6D@1
 2LD A,(HL) 7E@1
 2LD B,(HL) 46@1
 2LD C,(HL) 4E@1
 2LD D,(HL) 56@1
 2LD E,(HL) 5E@1
 2LD H,(HL) 66@1
 2LD L,(HL) 6E@1
 2LD (HL),A 77@1
 2LD (HL),B 70@1
 2LD (HL),C 71@1
 2LD (HL),D 72@1
 2LD (HL),E 73@1
 2LD (HL),H 74@1
 2LD (HL),L 75@1
 2LD A,(BC) 0A@1
 2LD A,(DE) 1A@1
 2LD (BC),A 02@1
 2LD (DE),A 12@1
 2LD A,I ED57@2
 2LD A,R ED5F@2
 2LD I,A ED47@2
 2LD R,A ED4F@2
 2LD SP,HL F9@1
 2LD SP,IX DDF9@1
 2LD SP,IY FDF9@1
 2LD A,1 3E#1@2
 2LD B,1 06#1@2
 2LD C,1 0E#1@2
 2LD D,1 16#1@2
 2LD E,1 1E#1@2
 2LD H,1 26#1@2
 2LD L,1 2E#1@2
 2LD A,2(IX+ DD7E#1@3
 2LD A,2(IY+ FD7E#1@3
 2LD B,2(IX+ DD46#1@3
 2LD B,2(IY+ FD46#1@3
 2LD C,2(IX+ DD4E#1@3
 2LD C,2(IY+ FD4E#1@3
 2LD D,2(IX+ DD56#1@3
 2LD D,2(IY+ FD56#1@3
 2LD E,2(IX+ DD5E#1@3
 2LD E,2(IY+ FD5E#1@3
 2LD H,2(IX+ DD66#1@3
 2LD H,2(IY+ FD66#1@3
 2LD L,2(IX+ DD6E#1@3
 2LD L,2(IY+ FD6E#1@3
 2LD A,5( 3A#2@3
 2LD BC,5( ED4B#2@4
 2LD DE,5( ED5B#2@4
 2LD SP,5( ED7B#2@4
 2LD IX,5( DD2A#2@4
 2LD IY,5( FD2A#2@4
 2LD HL,5( 2A#2@3
 2LD BC,3 01#2@3
 2LD DE,3 11#2@3
 2LD HL,3 21#2@3
 2LD SP,3 31#2@3
 2LD IX,3 DD21#2@4
 2LD IY,3 FD21#2@4
 2LD A,7(IX+ DD77#1@3
 2LD A,7(IY+ FD77#1@3
 2LD B,7(IX+ DD70#1@3
 2LD B,7(IY+ FD70#1@3
 2LD C,7(IX+ DD71#1@3
 2LD C,7(IY+ FD71#1@3
 2LD D,7(IX+ DD72#1@3
 2LD D,7(IY+ FD72#1@3
 2LD E,7(IX+ DD73#1@3
 2LD E,7(IY+ FD73#1@3
 2LD H,7(IX+ DD74#1@3
 2LD H,7(IY+ FD74#1@3
 2LD L,7(IX+ DD75#1@3
 2LD L,7(IY+ FD75#1@3
 2LD A,8( 32#2@3
 2LD BC,8( ED43#2@4
 2LD DE,8( ED53#2@4
 2LD SP,8( ED73#2@4
 2LD IX,8( DD22#2@4
 2LD IY,8( FD22#2@4
 2LD HL,8( 22#2@3
 2LD $,(HL) 36#1@2
 2LD $,2(IX+ DD36#2@4
 2LD $,2(IY+ FD36#2@4
 Z
 0LDD EDA8@2
 Z
 0LDDR EDB8@2
 Z
 0LDI EDA0@2
 Z
 0LDIR EDB0@2
 Z
 0NEG ED44@2
 Z
 0NOP 00@1
 Z
 1OR A B7@1
 1OR B B0@1
 1OR C B1@1
 1OR D B2@1
 1OR E B3@1
 1OR H B4@1
 1OR L B5@1
 1OR (HL) B6@1
 1OR 1 F6#1@2
 1OR 2(IX+ DDB6#1@3
 1OR 2(IY+ FDB6#1@3
 Z
 2OUT (C),A ED79@2
 2OUT (C),B ED41@2
 2OUT (C),C ED49@2
 2OUT (C),D ED51@2
 2OUT (C),E ED59@2
 2OUT (C),H ED61@2
 2OUT (C),L ED69@2
 2OUT A,9( D3#1@2
 Z
 0OUTD EDAB@2
 Z
 0OTDR EDBB@2
 Z
 0OUTI EDA3@2
 Z
 0OTIR EDB3@2
 Z
 1POP BC C1@1
 1POP DE D1@1
 1POP HL E1@1
 1POP AF F1@1
 1POP IX DDE1@2
 1POP IY FDE1@2
 Z
 1PUSH BC C5@1
 1PUSH DE D5@1
 1PUSH HL E5@1
 1PUSH AF F5@1
 1PUSH IX DDE5@2
 1PUSH IY FDE5@2
 Z
 2RES 0,A CB87@2
 2RES 0,B CB80@2
 2RES 0,C CB81@2
 2RES 0,D CB82@2
 2RES 0,E CB83@2
 2RES 0,H CB84@2
 2RES 0,L CB85@2
 2RES 1,A CB8F@2
 2RES 1,B CB88@2
 2RES 1,C CB89@2
 2RES 1,D CB8A@2
 2RES 1,E CB8B@2
 2RES 1,H CB8C@2
 2RES 1,L CB8D@2
 2RES 2,A CB97@2
 2RES 2,B CB90@2
 2RES 2,C CB91@2
 2RES 2,D CB92@2
 2RES 2,E CB93@2
 2RES 2,H CB94@2
 2RES 2,L CB95@2
 2RES 3,A CB9F@2
 2RES 3,B CB98@2
 2RES 3,C CB99@2
 2RES 3,D CB9A@2
 2RES 3,E CB9B@2
 2RES 3,H CB9C@2
 2RES 3,L CB9D@2
 2RES 4,A CBA7@2
 2RES 4,B CBA0@2
 2RES 4,C CBA1@2
 2RES 4,D CBA2@2
 2RES 4,E CBA3@2
 2RES 4,H CBA4@2
 2RES 4,L CBA5@2
 2RES 5,A CBAF@2
 2RES 5,B CBA8@2
 2RES 5,C CBA9@2
 2RES 5,D CBAA@2
 2RES 5,E CBAB@2
 2RES 5,H CBAC@2
 2RES 5,L CBAD@2
 2RES 6,A CBB7@2
 2RES 6,B CBB0@2
 2RES 6,C CBB1@2
 2RES 6,D CBB2@2
 2RES 6,E CBB3@2
 2RES 6,H CBB4@2
 2RES 6,L CBB5@2
 2RES 7,A CBBF@2
 2RES 7,B CBB8@2
 2RES 7,C CBB9@2
 2RES 7,D CBBA@2
 2RES 7,E CBBB@2
 2RES 7,H CBBC@2
 2RES 7,L CBBD@2
 2RES 0,(HL) CB86@2
 2RES 1,(HL) CB8E@2
 2RES 2,(HL) CB96@2
 2RES 3,(HL) CB9E@2
 2RES 4,(HL) CBA6@2
 2RES 5,(HL) CBAE@2
 2RES 6,(HL) CBB6@2
 2RES 7,(HL) CBBE@2
 2RES 0,^(IX+ DDCB#186@4
 2RES 0,^(IY+ FDCB#186@4
 2RES 1,^(IX+ DDCB#18E@4
 2RES 1,^(IY+ FDCB#18E@4
 2RES 2,^(IX+ DDCB#196@4
 2RES 2,^(IY+ FDCB#196@4
 2RES 3,^(IX+ DDCB#19E@4
 2RES 3,^(IY+ FDCB#19E@4
 2RES 4,^(IX+ DDCB#1A6@4
 2RES 4,^(IY+ FDCB#1A6@4
 2RES 5,^(IX+ DDCB#1AE@4
 2RES 5,^(IY+ FDCB#1AE@4
 2RES 6,^(IX+ DDCB#1B6@4
 2RES 6,^(IY+ FDCB#1B6@4
 2RES 7,^(IX+ DDCB#1BE@4
 2RES 7,^(IY+ FDCB#1BE@4
 Z
 3RET  C9@1
 3RET NZ C0@1
